1: 垃圾，一点都不好玩
543: 画面幼稚还是地铁跑酷比较好

544: 不错的游戏   上班地铁有玩的了

545: 很好玩!

546: 游戏不错  蛮喜欢的

547: 不错的游戏

548: 画面挺新颖得，玩起来也挺好，期待出个换装的功能，我喜欢漂亮得衣服，哈哈

549: 挺不错的，小清新的赶脚，hoho

550: 苦练这个游戏，争取上排行榜，然后到现场参加男生女生向前冲~

551: 这个游戏让我改变了对人生的看法 一切都美好了起来 不说了绳子搓好了我去上吊了大家再见

552: good. game

553: good game

554: 还可以，不错

555: NONONO

556: 打开飞行模式可以无限购买

557: 不要看起来了小，运行来相当多垃圾，运行内存没有888的就不要玩了╭(°A°`)╮(๑• . •๑)(ฅ>ω<*ฅ)～~～

558: 太垃圾了，跟本玩不了，一點開始就閃退

559: 觉得垃圾的举个爪！

560: 不错啊，大脑玩法挺新鲜啊哈。就是太快了。记颜色试试吧。

561: 有点节目的影子

562: 闪退只能说明手机不行，哈哈

563: 这个游戏真好玩！比我女朋友都好玩！（转发一次5毛钱 记得删除括号内容

564: 红米1S跑着还算刘畅，就是11关太难了。。。。。。

565: 挺好玩得，期待有更多得冲客加入，不充钱也可以玩，挺好得

566: 什么鸡吧玩意    这么垃圾的游戏还尼玛要钱   收钱也得做个好游戏吧   瞧着个B游戏

567: 根本进不了游戏。差劲

568: 又一个盗版游戏

569: 说只有花钱才能玩的是什么心态？手残么？这么简单过不了？

570: 还不错，玩法新颖。

571: 垃圾游戏，动不动就要花钱，360想钱是不是想疯了！！！！

572: 喜欢！给个大赞

573: 收费毫不手软，无感！

574: 天啊！太好玩了！很有新鲜感！还很刺激！很喜欢！主持哦！

575: 这游戏还可以，就是老是闪退玩的没劲π_π

576: 垃圾游戏，秒卸。

577: 安装不了，垃圾？？？

578: 赞赞赞赞赞赞

579: 有钱人可以玩下！穷人不建议下载！

580: 进都进不去    玩屁呀

581: 秒卸！！！垃圾

582: 好一个屁软件。不下了，只会闪退。脑火!!!!以后不下了

583: 就是一个完整的垃圾！浪费我的流量

584: 这什么软件，这么……再不出我不下了

585: 哎！想玩玩不成，我一点就黑屏，过后就闪退，无语了……

586: 为什么进不去？

587: 完美闪退-_-||

588: 还可以

589: 破游戏闪退好恶心

590: 到处的是收费的！不建议下

591: 不错，很好玩。

592: 我非常想玩，但是下载了不能玩

593: 根本不能玩，我艹，千万不要下

594: 垃圾游戏，进去一点开始就掉出来了！什么垃圾啊！气死我了！

595: 不好

596: 好玩，就是我这vivo  y11的手机玩着玩着就闪退。。双核的手机。

597: 垃圾中的垃圾

598: 怎么没法下载

599: 拉圾

600: 很好的了

601: 根本打不开

602: 说这个不好的有本事自己做一个出来。

603: 很好！最强大脑模式棒棒哒很有创意

604: 玩法挺多样的，不是单一的。感觉还不错。就是最强大脑慢慢的就好难啊~

605: 不是全免费的   垃圾中的战斗机   还收费    简直比超级玛丽都差劲   没意思  4关就卸载了

606: 三星i9220，下载后打不开，直接黑屏闪退，无语O__O"…！

607: 游戏不错，就是冲客除了李教练其他的我都不太喜欢，还会出新的么新的么~给我做李佩斯吧哈哈哈~

608: 我老妈是男生女生的忠实粉丝，暑假要到了一起来闯关吧。有空调赢没哈哈哈~

609: 怎么跟电视上不一样啊

610: 这游戏还行啊，起码有创新点。为了玩法丰富也是通用心的了。记忆考验，冲客接力都挺好玩的。

611: 这游戏挺好玩的~起码觉得研发有在用心，还有提高的空间，希望越来愈好~我是男生女生的粉丝。赞你们。

612: 怎么和电视上的关卡不一样啊！

613: 不错滴游戏

614: 游戏后面还有新模式，玩起来还不错

615: 擦，楼下的哪个傻逼，我的乖乖来，你要是想发广告，就去你妈个逼里发去，别在这丢人现眼，滚

616: 要网吗？

617: 垃圾 不好玩

618: 还是不错的，跑酷游戏向来就是这个模式呀！    蛮喜欢的。。。

619: 老是闪退，都快急死人了！

620: 里面的人物我也是醉了，什么大妈，什么理工男都好丑，丑的要死。不过游戏还可以。

