1: 、“'
399: Tmd千万不要下载，进去砸金蛋，完了弹出一个提示点了就扣你30块钱，玛德没见过这么坑的游戏，保证实话，不然被雷劈！这种游戏真尼玛是想钱想疯了！

400: 他妈的太懒烂了 ，我第一次进去他说可0.01元买个李小熊，我一听蛮好的，买了，结果第2次打不开游戏试了好多次都没用,真的是太烂了!!!!!!

401: 还不错啊，最近还喜欢玩款免费的焚天 战机，特别好玩。。

402: 我安装不上
~~~~(>_<)~~~~

403: 我只能说这是个想钱想疯了的游戏

404: 很不好

405: 刚点开，看着要进入了，结果返回桌面了，非常不好，两次都是这样！先来提醒，大家发表完这些，马上卸载！千万不要下载，差差差！

406: 房间给国家标准国家标准的啊

407: 不错，还喜欢玩款免费的烈焰战斗机，很好玩。。。。

408: 靠 用找乐砖石超级多

409: 老闪退，先来发表一下马上卸载。什么游戏吧！

410: 太太太太好玩了。

411: 老闪退，浪费我的钻石

412: 游戏玩累了就开始玩pp语音，在男女之间找到有意思的乐子，可有趣了！

413: 忒贱了

414: 挺不错的，最近一直在玩款免费的焚天 战机，特别的好玩!!!

415: 很不错。

416: 不好用

417: 打不开

418: 打不开，但是还不错。

419: 不能下

420: 挺不错的，最近还喜欢玩款免费的焚天 战机，真的很好玩1!!

421: hh hhhhhhhhhhh

422: 千万不要下，还没进入就退出

423: 什么鬼，打不开

424: 大家千万不要下，玩了一半会自己退出来

425: 很差，道具还要付费。

426: 哈哈哈哈哈！太好玩了！

427: 一点儿都不好玩儿，大家千万不要下载，不要被其他人的评论给骗了

428: 不错，最近还喜欢玩款免费的烈焰战机，真心很好玩的!!!!

429: 登不上垃圾游戏

430: 不要脸的游戏得了9个宝箱不知道怎么了退出来了

431: 太好玩了,就是买人物要花钱。

432: 什么破游戏花了钱就玩不了真坑人呀

433: 游戏玩累了就开始玩pp语音，在男女之间找到有意思的乐子，可有趣了！

434: 我手机为什么不能玩？？？？

435: .
不好用？来吐吐槽吧~

436: 打都打不开

437: 要钱吗、。。。。

438: 这太好玩}了！

439: 太不好玩了！气死我了 ！

440: 真的很好玩吗

441: 这游戏太老了大家玩奔跑吧兄弟

442: 太坑人

443: 花完钱了进不去了坑人呀

444: 不知道

445: 尼玛，闪退啊

446: 坑钱的，，别下啊啊啊啊啊啊啊啊啊啊啊啊

447: 气死了！花了60多元！小心会扣钱

448: 真好玩太好玩

449: 真好玩

450: 太卡了大家不要下，有的时候跑了一会就卡死了

451: 很好玩的游戏

452: 好玩吗?

453: 贱游戏，没经过别人的同意就乱买人物，花了我30元，差评。

454: 好玩儿

455: 不错了，刚才和朋友玩了款免费的烈焰 战机，特别好玩。。

456: 玩的很开心

457: 棒极了不错

458: 刚下载就停止运行，，垃圾。

459: 好玩，好玩，真好玩！

460: 我给你们推荐一款软件--葫芦侠三楼--里面下的单机基本上都不要钱就能卖要钱的礼包、道具。。。。。。

461: 还不错,不收费还挺好王元

462: 卧槽，用找乐好多的砖石

463: 打不开，不好玩

464: 很刺激，特别喜欢上一款免费的跑酷少年2，好刺激。

465: 还不错，早上玩了一会焚天战机，真免费的很好玩!!!

466: 打不开气死了

467: 此乃炒鸡有意思也      很刺激      呵呵   子龙一身 是游戏也

468: 太卡了！

469: 买房子女

470: 力推个毛一逼

471: 这个人真是个大翔，既然把游戏制作的那么好

472: 这是个垃圾游戏

473: 我根本就登不上去这人也太坑爹了吧！

474: 差，进不去！

475: 还不错，刚去玩了一会焚天战机，免费的特好玩。。。

476: 不好玩，太烂了

477: 不好玩

478: 很好，玩了款跑酷自行车2超给力。

479: 还可以了，刚才去玩了会焚天战机，免费的也很好玩，力荐!!

480: 下长的

481: 还不错，我玩到小镇了！

482: 去下载个内购破解版吧。保准不要钱

483: 很不错，最近玩了款免费的跑酷自行车2好刺激。

484: 怎么一更新了就有两个软件啊. 删了一个两个都没了. 我都下了三次了

485: 挺好的，最近一直在玩免费的焚天战机，超级好玩。。。力荐

486: 还行吧

