1: 245区，幻音坊急收人啊。求伙伴
265: 就让我来刷满评论区吧，啊哈哈，哈哈哈，啊哈哈哈，啊哈哈，我没疯，只是有一点心疼，不良人伴随了我一个多月，半个暑假，当初是看来不良人才知道这个游戏的，下来玩打发时间而已，但是经过一个多月的相处，我发现我已经爱上他了，对就是他，    ☞不良人☜

266: 从来都是潜水，必须来给个好评，游戏简单易懂，超级好评！

267: 不良人啊不良人，第一次这么想玩不良人，发疯似得想玩，不良人你什么时候才能玩啊，第一次玩个游戏安装卸载二十多次的，为了玩这个游戏，手机两次格式化，一次恢复出厂设置，都是为了玩不良人，可是每次的结果都让我失望，哎！！

268: 每次起床，打开不良人我都会期待能够玩，但是(#‵′)每次都不能玩，搞什么鬼啊！这么多天了还不能玩，你们技术人员是吃白饭的吗，(#‵′)(#‵′)靠

269: 还让人玩吗

270: 好玩^O^

271: 经典游戏给力！

272: 太好玩啦！我很爱玩！

273: 我感觉要疯了！！！

274: 很不错，，我很喜欢玩

275: 怎么还是装不上

276: 不良人铁粉的期待。

277: 好玩，不要才怪

278: 怎么回事我账号变回一级了

279: 好极了，这3D游戏！顶！

280: 好，好。

281: 真的连一星都不想给，TMD110体力才刷一个碎片，丫的还想不想让人玩了

282: 真心好玩！画面也好！

283: 我一星都不想给。你们也是进了游戏不能选区吗？我也是。一开始我还以为是手机坏了

284: 更新后，原来的号玩不了了，气死我了

285: TMD刷了几百体力，也就几个碎片，玩成这样我也是醉了，还有找这么多人刷好评有意思吗，如果这游戏真的好，为何下载量上不去，人家后面出的花千骨下载量都几百万了，艹

286: 画面流畅，背景清晰。。

287: tmd可以安装但是不能选服务器，一到服务器那就显示不良人以停止运行，然后闪退，wocao，什么时候能好都三天了，和我一样的人来回复我，让我知道我不是一个人T^T

288: 画面超赞，招式超帅，手感超好，剧情超爽。

289: 非常好玩，还原了动漫里的场景、人物，升级很有意思。就是精魄不好收集。

290: 8亿点播，千万粉丝，3D成人武侠RPG手游

291: 更新完后，不能玩了

292: 你们要查询几天啊，能不能快点啊

293: 老是闪退

294: 这游戏这么火吗，游戏人真多。

295: 四大角色共创江湖，期待。

296: 看着貌似还不错，有点回到电视中的感觉，打算玩下看

297: 选不了区，停止运行，还能不能修好啊

298: 应该很好玩，忠实不良人粉丝，

299: 游戏很不错，画面很精致，也容易上手

300: 很棒 不错 喜欢这种游戏

301: 太棒了，酷啊，点赞

302: 那些更新后安装不了的360伙伴，把老版卸载后重新安装，我就是这样成功的，不知道你们是不是这个原因

303: 游戏做的还是不错的，用心做了

304: 游戏不错，很好玩呀，哈哈哈哈

305: 很棒 不错 喜欢这种游戏

306: 之前玩过，打斗技能还不错

307: 喜欢动漫，喜欢手游，不解释，我是一只安静的凉粉~~~

308: 哇，可以和小湿妹双休，想想都。。。

309: 这游戏不顶下不行的

310: 不能选服务器啊！三天了什么时候修复好！！！！！！！

311: 先给个五星吧

312: 不能选服务器啊！三天了什么时候修复好！！！！！！

313: 不能选服务器啊！三天了什么时候修复好！！！！！

314: 不能选服务器啊！三天了什么时候修复好！！！！

