1: 太筒單了，一下子就過去了。人物還這麽醜。
596: 经常闪退，但是很好玩。支持

597: 喜欢杨洋的赞一个！

598: 一登录，就闪退

599: 挺好玩的  希望大家都玩

600: 怎么不能聊天？？？加好友的在哪、看不到！！？？？

601: 就是安装有点慢

602: 超好玩，不理解下面那些人说的，，，，，可能真的是你们手机又问题，，， 真的好好玩!五星

603: 说闪退的人，你那破手机该换了！别怨游戏不行，只怪手机不行！支持杨咩咩的赞！三星完美运行！！

604: 为什么我打不开

605: 一直闪退

606: 那些手机差的人就不要诋毁这款游戏，这游戏好玩到爆了。力挺旋风少女！！！！！

607: 这个很好玩

608: 是我手机的问题还是游戏问题？一直闪退是怎么回事？我觉得是我手机卡于是果断清理内存，结果多玩了一点还是给我退了？求解释！

609: 喜欢杨洋，陈翔的赞一个！

610: 一般，一般，全国第三

611: 挺好玩的

612: 杨洋帅帅哒，认为杨洋帅的赞

613: 为什么每一次都进不去

614: 这个要网吗？

615: 不好玩

616: 卡，闪退   不过挺好玩的

617: 太好玩了，不能玩是你的手机破，摔了就好

618: 怎么进去呀？

619: 好玩

620: 很好玩

621: 太好玩了

622: 下载都慢到要命

623: 很好，赚钻石

624: 好玩

625: 老是闪退

626: 我还没过新手训练就闪退了！！！

627: 为了吴磊LEO下载的的！

628: 喜欢吴磊来的赞一个

629: 怎么一直闪退

630: 为啥我加载到62就停了？

631: 用网吗？帮帮忙。

632: 好玩好玩，力挺百草。

633: 气死人了总是闪退！

634: 我太厉害了，一天把百草，若白练到黄绿带！我太厉害了！力荐旋风少女！

635: 为什么我进去了但是又退回来了呢

636: 冲着杨洋和陈翔来的  还好吧

637: 我卄

638: 挺好玩的，就是有点卡，还老闪退。能修一下吗？

639: 要不是喜欢旋风少女，我才不下

640: 请工作人员解决老闪退的大大大大大大问题

641: 坑爹

642: 垃圾。。。。。老闪退。。。。。坑爹。。。。强烈推介删了。。。或是不要下！！！！垃圾。  垃圾 。 垃圾  。垃圾

643: 不如玩时空猎人不过这个也很好玩只是有点儿闪退冲着百草来的

644: 好玩

645: 这东西还带剧透

646: 一个人闪退，一次闪退是手机问题。100个人闪退也是手机问题，就你丫得这么巧100个人用的同一款手机？求赶快升级，解决问题。

647: 为毛老闪退么

648: 不好玩

649: 闪退！

650: 没玩几分钟就闪退了。。。但我为了陈翔赞一个

651: 冲着我家洋洋来哒，游戏蛮好玩的，就是老是闪退

652: 他们演得很好，旦是游戏十分不好玩，可不要下载，你下载了，你就会后悔的。不好，不好，就是不好。

653: 为什么有一半的屏幕是绿色，挡住人了

654: 黑屏

655: 打不开

656: 还不错

657: 老闪退

658: 太好玩了，不过一直在维护。

659: 我退步出去

660: 您的赞美总是闪退
