1: 此游戏开发者确定不怕天美叫你上法庭？
513: 这是有猫和老鼠授权的吧，和原版动画很像

514: 为了童年的小伙伴，必须来一发

515: 总是被夹鼠器夹住，晕死

516: 画面很漂亮啊，奶酪都和动画片里的是一样的，不怎么卡

517: 想到了小学时在家偷偷看猫和老鼠的日子，游戏里的角色、道具神马的，和记忆里的一毛一样，忍不住又搜了几集看看

518: 是单机的，每日竞赛需要联网，奖励很丰富

519: 安卓的啥时候公测啊，去官网领礼包吗？？

520: 原来遇到盘子时点左边攻击键，就可以打Tom了，还有接住冰块后要在三秒内按左键扔出去，不然就会把自己冻住，gameover了。。。。血泪教训啊。。。死了四五遍才发现

521: 除了杰瑞，其他的小老鼠都是随身带了技能的，泰非很好用，会三连跳，还带了磁铁模样也最可爱

522: Jerry追着Tom暴打的画面很过瘾，就是手残党把握不好跳跃的节奏

523: 垃圾，几十M的游戏居然也闪退！别糟蹋我们的经典！！给一星也给多！！

524: 完美闪退

525: 闪退，无语，进程杀掉重新登录照样四图闪退

526: 一到四图就闪退。。。。真的好想玩啊

527: 更新了，不闪退！

528: 完美运行

529: 挺好玩的，根本没有大家说的闪退啊！

530: 说闪退的是手机问题，玩了13关了，完美运行有点类似酷跑，希望出点新鲜的。！！！

531: 红米…闪退各种办法都试过…高大上的游戏…像我这种矮穷挫玩不了…能不能不给星

532: 四图闪退不解释。。。。。。。

533: note2闪退

534: 完美闪退

535: 有意思的游戏，总让我想起PP语音上面和我一起玩的妹子，好美好有胸！

536: 看到这么多说闪退的我还不相信非要试试，果然群众的眼睛是雪亮的啊，到那四张图片那就闪退，不是手机的问题，我是note2，果断卸载

537: 挺好玩，就是各种要钱

538: 什么闪退，压根是你手机问题

539: 闪退，片头那四个图片完了就闪退

540: 完美运行

541: 闪退啊，片头那四图片完了就闪退

542: 闪退……

543: 现在可以玩了，我的是华为

544: 闪退的没有，就是打开黑屏

545: 嗯，确实很好玩，

546: 一直闪退

547: 下载，打开，闪退，评论，卸载 第一次玩游戏给差评。。。唉，希望以后能改进吧

548: 闪退

549: 一直在闪退

550: 太好玩了，背景音乐要是原动画配音就完美了

551: 闪退，为什么？？？？？？？

552: 闪退啊！

553: 进不去。。。

554: 果然一直闪退，不能玩

555: note2表示闪退！！！

556: 打开一次  闪退一次  什么意思啊

557: 好烦！闪退！

558: 闪退。就这也好意思把游戏发出来。。。

559: 闪呀

560: 闪退啊，大哥！！！！

561: 网易游戏的工作人员快点吧猫和老鼠官方手游我提的问题全部修复好吧！

