1: 哈哈哈哈哈啊哈哈哈哈哈哈啊哈哈哈哈哈哈哈好
445: 好好玩哦又可以看到可爱的萌娃星爸。^O^/

446: 不错

447: 超级好玩

448: 闪退！浪费流量还打不开

449: 好好好好好好好好好好好好好好好好好，才怪

450: 比爸爸去哪好玩！kimi好萌，林志颖好帅！

451: 错号太小！不小心就点到确定支付了！

452: 什么啊，刚跑就到终点了，垃圾啊！

453: 垃圾，进不去

454: 手机上下载。基本上都是儿子玩的。许多字都还不认识。竟然要扣费的。太阳☀。

455: 文件太大 流量耗不起

456: 想扣费的下！！！

457: 闪退

458: 草泥马，闪退的！麻痹狗逼软件

459: 为什么还不更新？

460: 不知道什么就给扣了28元费用，真心无语，上银行，上淘宝，都得密码验证，手机游戏购买为啥不用验证，坑爹

461: 这个游戏太烂了大家别玩下载了又不能进[X][心碎][一见钟情][恶魔]~(≧▽≦)/~(╰_╯)#

462: 比爸爸去哪2好玩，超爱kimi,点赞

463: 不错，没有闪退过！真的

464: 你们坑爹啊！！！想钱想疯了！垃圾游戏！悄悄的扣费，一点提示都没有！坑爹啊！请给个说法！！想扣费的下！

465: 有没有搞错，什么东西嘛，经常闪退，还让不让人家玩啊

466: 特么的，打不开就是你们手机垃圾，别说游戏，什么游戏到你们手上都是垃圾，你们就是个垃圾

467: 好玩，朋友推荐了款跑酷自行车2还真不错

468: tailaji

469: 挺好

470: 进不去你们怎么进去的？

471: 拉级进不去

472: 比爸爸2好玩

473: 下载好了却打不开，真垃圾，你们是怎么打开的，

474: 好玩

475: 比爸爸去哪儿二难玩多了！

476: 没消息提示直接就从手机里面扣费！扣完后才来条短信：【中国移动 和游戏】温馨提醒：您已成功购买“爸爸去哪儿”之大宝石包，价格28元，已扣本机话费28元。直接回复"VIP"开通游戏玩家业务（5元/月），即享数千款单机游戏8折特惠，更多安全、正版、折扣游戏尽在“和游戏”  http://g.10086.cn/go/gh_jfdx。。。坑爹！

477: 这个游戏为什么下载完之后进不去呀？

478: 第一次能打开 回来就打不开了！
建议亲们不要下载这种游戏
根本就是骗人的。

479: 我的天，，，，，垃圾成这样

480: 垃圾，打不开。

481: 爸爸去哪2太垃圾了，还是这个好玩！！！给100个赞！！！

482: 草泥马！闪退

483: 手机老卡，真坑爹!

484: 太好玩的啦

485: 比爸爸去哪儿2好玩多了！

486: 还说什么翻降落伞

487: 真不错，一直在玩的一款跑酷自行车2好炫酷，免费又好玩！

488: 同学介绍的小游戏“飞.弹.大战僵尸”太好玩了，，呵呵。。。

489: 这是单机么？

490: 有root的可以禁止它发送短信，这样点中了也没事

491: 闪退！

492: 实在是太好玩了

493: 奸商，总是不小心让人点到"确认支付"。

494: 非常棒的一款跑酷自行车2

495: 神马游戏，进不去，垃圾！！！

496: 实在是太好玩儿了。

497: 粑粑去哪2出了现在玩一下1敢脚不错

498: 都说跑酷自行车2很好玩，我也试试去

499: 真的好好玩哦

500: 拉级的上一级

501: 很好玩滴。。。加油哦！↖(^ω^)↗

502: 想知道李敏镐是怎么接吻的吗，休息一会，去玩会新上线的<疯*狂*K*I*S*S>去，很好玩~。

503: 还好

504: 可好玩了!

505: 说到玩游戏我还是喜欢跑酷自行车2

506: 我知道有人不喜欢这款游戏，但请注意自己的言行好么，别说些不好听得

507: 垃圾垃圾垃圾垃圾

508: 不好玩

509: 一更新我的所有道具，钻石，数据全没啦，又得从第一关开始（这是第二次啦囧囧囧）我的180关啊啊啊啊啊

510: 垃圾

511: 好玩的不能在好玩

512: 扣费的就不爽了。其他还好。。最近一直在玩的拳击喵星人非常不错，清新好玩，强烈推荐大家去试试。

513: 我在手机上玩过一回很好玩。

514: 一点儿都不实惠

515: 垃圾，垃圾

