1: 为什么一开数据登陆360账号就老闪退，为什么为什么，
359: 闪退！！！！内部人员再想办法更新啊！！！！！

360: 闪退！！早知道不更新了！！！内部人员想想办法啊！！！

361: 好玩。

362: 更完后闪退→_→

363: 坑货吖，更新完直接闪退！！！！

364: 更新完除了更花哨之外，说好的好友呢，

365: 还是什么也没有，一登录就闪退，坑！

366: 自动转屏！垃圾，睡觉都玩不了！！！！

367: 更新完根本玩不了，闪退啊！！好友的功能没修好这次直接玩不了了

368: 新版本更烂！o(≧口≦)o

369: 更新完成白板，关卡一片白，不能玩

370: 闪退！！！！

371: 更新完就打不开了，闪退，卸载重装还是一样！望解决！！

372: 更新了怎么进不去啊，急死了

373: 闪退！进不了

374: 更新了，就进不了。急啊

375: 一直在玩，超级好玩

376: 越更新越烂，没得耍头

377: 根本打不开，什么意思，我都快200关了，求解释

378: 更新了，进不去呀，急

379: 完全进不去

380: 晕，我也进不去，闪退了，这逼我卸了它的节奏吗！！

381: 我能打开运行啊！我是三星note3 手机

382: 卸载，什么也不想说了

383: 更新后闪退啊，我去，什么垃圾

384: 什么呀   更新完了进不去呀  本来上次更新就觉得不好玩了  现在连进都进不去

385: 还好，我没有更新。

386: 更新了，闪退，什么玩意儿

387: 更新了闪退！！！进不去！！！

388: 怎么换人？说不好的是笨蛋

389: 哪位大神指点指点，小米2为什么不能保存记录啊，有什么解决办法

390: 智商...................

391: 我的小米2，不知道为什么不会自动保存记录，每次都从第一关开始，郁闷，没法玩

392: 超好玩～就是后面太难了，有点虐。。每次到后面玩不下去了我都卸载了从头再来。。

393: 为什么老转屏，怎么办，烦死啦啦

394: 关卡太难了，不花钱都过不去

395: 我去你马勒戈壁，瞎鸡巴更新，什么都没有了，老子赞了那么多好友币都他妈没了！操，卸载了！

396: 太不可思议了，怎么更新的啊你们，好友全不在了，周四到周天任务也没了，不停的横竖屏还不能设置，已经醉了，关卡更新太慢

397: 哈哈哈!我找到漏洞啦!心无限多!!(把自己系统时间日期改变成未来时间，心全满)不谢!我是红领巾(>^ω^<)

398: 很好 没有卡

399: 更新以后连打都打不开了怎么破！！！！！！！！！！

400: 狗屁更新啊！总是在快过关时闪退啊！好友呢？互赠的礼物呢？还我旧版本啊！

401: 我艹，闪退。

402: 艹，还我好友，还我左下角那个任务关，尼玛更新毛版本

403: 更新后太特么耽误事了，靠为毛夏日关卡还有限制，垃圾

404: 不能保存游戏进度！每次重新进入都要从第1关开始！

405: 两个字：卡死！

406: 更新后差评，不停的自动转屏是要哪样，怎么拿视线都不对

407: 新版太垃圾了

408: 还是旧版好

409: 真的太差劲了，小孩乱买了钻石，就直接扣费了，一点保障都没有，以后再也不会玩了，客服很差劲，差评！

410: 很新完真是各种坑！

411: 尼玛的，还我原版，几十个币都没兑换道具，好友也没了

412: 。。。。。

413: 还好我没更新

414: 没有好友了，也没有道具了

415: 幸亏我没更新！

416: 更新后就是狗屁，好友没有了，自动转屏！

417: 不要更新了，都耽误玩别的游戏，老是蹦出来告诉我已停止，都疯了。

418: 我也想说，新版的什么都没了。本来还有的宝箱也没了，还有那个蛋糕都没有！  而且一直卡到270了，好心塞。。。

419: 好友啊！宝箱啊！更新了有屁用呀！！气死了！！！！

420: 再烂的游戏都比不上它，太绝了，我横着拿，它要竖，我竖着拿，它要横屏放。还有就是全是靠运气，不是靠实力的游戏。就是画面还不错。差开心消消乐太多了！！要不是开心消消乐没再更新，怎么会去碰这等烂玩意！！

421: 最好不要更新    更新了发现好友没了 道具买不了 登陆不上  各种坑

422: 为什么还没用就让评论

423: 更新后绝对要差评。想出屏幕自动旋转的人出来，保证不打死你。。还我好友和宝箱。。

424: 為什麼更新後之前的記錄沒了呢，麻痺

425: 那个sb设计的自动转换屏幕。躺着玩一点都不方便。

426: 最新的更新真的很差！好友，宝箱挑战都没了！！！！如果下次更新这两样不恢复，就只能卸载了！

427: 越更新越垃圾，越更新，越垃圾，越更新越垃圾，越更新越垃圾，越更新越垃圾

428: 好友呢！

429: 内容不错  可你也要能登录啊！经常进不去  进去吧！还没玩两把  没心了？恢复一个需要30分钟啊？我自己的心都碎了  还玩你？

430: 好友呢？宝箱挑战呢？系统君你把他俩吃了么？你造不造我一直在玩单机游戏，玩的心有多累！！！！！！能不能赶紧更新，把好友，宝箱给我吐出来！！

